id;title;genres;budget_millions;vote_average;vote_count
19995;Avatar;Action Adventure Fantasy Science Fiction;237.00;7.2;11800
285;Pirates of the Caribbean: At World's End;Adventure Fantasy Action;300.00;6.9;4500
206647;Spectre;Action Adventure Crime;245.00;6.3;4466
49026;The Dark Knight Rises;Action Crime Drama Thriller;250.00;7.6;9106
49529;John Carter;Action Adventure Science Fiction;260.00;6.1;2124
559;Spider-Man 3;Fantasy Action Adventure;258.00;5.9;3576
38757;Tangled;Animation Family;260.00;7.4;3330
99861;Avengers: Age of Ultron;Action Adventure Science Fiction;280.00;7.3;6767
767;Harry Potter and the Half-Blood Prince;Adventure Fantasy Family;250.00;7.4;5293
209112;Batman v Superman: Dawn of Justice;Action Adventure Fantasy;250.00;5.7;7004
1452;Superman Returns;Adventure Fantasy Action Science Fiction;270.00;5.4;1400
10764;Quantum of Solace;Adventure Action Thriller Crime;200.00;6.1;2965
58;Pirates of the Caribbean: Dead Man's Chest;Adventure Fantasy Action;200.00;7.0;5246
57201;The Lone Ranger;Action Adventure Western;255.00;5.9;2311
49521;Man of Steel;Action Adventure Fantasy Science Fiction;225.00;6.5;6359
2454;The Chronicles of Narnia: Prince Caspian;Adventure Family Fantasy;225.00;6.3;1630
24428;The Avengers;Science Fiction Action Adventure;220.00;7.4;11776
1865;Pirates of the Caribbean: On Stranger Tides;Adventure Action Fantasy;380.00;6.4;4948
41154;Men in Black 3;Action Comedy Science Fiction;225.00;6.2;4160
122917;The Hobbit: The Battle of the Five Armies;Action Adventure Fantasy;250.00;7.1;4760
1930;The Amazing Spider-Man;Action Adventure Fantasy;215.00;6.5;6586
20662;Robin Hood;Action Adventure;200.00;6.2;1398
57158;The Hobbit: The Desolation of Smaug;Adventure Fantasy;250.00;7.6;4524
2268;The Golden Compass;Adventure Fantasy;180.00;5.8;1303
254;King Kong;Adventure Drama Action;207.00;6.6;2337
597;Titanic;Drama Romance Thriller;200.00;7.5;7562
271110;Captain America: Civil War;Adventure Action Science Fiction;250.00;7.1;7241
44833;Battleship;Thriller Action Adventure Science Fiction;209.00;5.5;2114
135397;Jurassic World;Action Adventure Science Fiction Thriller;150.00;6.5;8662
37724;Skyfall;Action Adventure Thriller;200.00;6.9;7604
558;Spider-Man 2;Action Adventure Fantasy;200.00;6.7;4321
68721;Iron Man 3;Action Adventure Science Fiction;200.00;6.8;8806
12155;Alice in Wonderland;Family Fantasy Adventure;200.00;6.4;4645
36668;X-Men: The Last Stand;Adventure Action Science Fiction Thriller;210.00;6.3;3525
62211;Monsters University;Animation Family;200.00;7.0;3528
8373;Transformers: Revenge of the Fallen;Science Fiction Action Adventure;150.00;6.0;3138
91314;Transformers: Age of Extinction;Science Fiction Action Adventure;210.00;5.8;3095
68728;Oz: The Great and Powerful;Fantasy Adventure Family;200.00;5.7;3530
102382;The Amazing Spider-Man 2;Action Adventure Fantasy;200.00;6.5;4179
20526;TRON: Legacy;Adventure Action Science Fiction;170.00;6.3;2841
49013;Cars 2;Animation Family Adventure Comedy;200.00;5.8;2033
44912;Green Lantern;Adventure Action Thriller Science Fiction;200.00;5.1;2487
10193;Toy Story 3;Animation Family Comedy;200.00;7.6;4597
534;Terminator Salvation;Action Science Fiction Thriller;200.00;5.9;2463
168259;Furious 7;Action;190.00;7.3;4176
72190;World War Z;Action Drama Horror Science Fiction Thriller;200.00;6.7;5560
127585;X-Men: Days of Future Past;Action Adventure Fantasy Science Fiction;250.00;7.5;6032
54138;Star Trek Into Darkness;Action Adventure Science Fiction;190.00;7.4;4418
81005;Jack the Giant Slayer;Action Family Fantasy;195.00;5.5;2598
64682;The Great Gatsby;Drama Romance;105.00;7.3;3769
9543;Prince of Persia: The Sands of Time;Adventure Fantasy Action Romance;150.00;6.2;2317
68726;Pacific Rim;Action Science Fiction Adventure;180.00;6.7;4794
38356;Transformers: Dark of the Moon;Action Science Fiction Adventure;195.00;6.1;3299
217;Indiana Jones and the Kingdom of the Crystal Skull;Adventure Action;185.00;5.7;2495
105864;The Good Dinosaur;Adventure Animation Family;175.00;6.6;1736
62177;Brave;Animation Adventure Comedy Family Action;185.00;6.7;4641
188927;Star Trek Beyond;Action Adventure Science Fiction;185.00;6.6;2568
10681;WALL·E;Animation Family;180.00;7.8;6296
5174;Rush Hour 3;Action Comedy Crime Thriller;140.00;6.1;783
14161;2012;Action Adventure Science Fiction;200.00;5.6;4903
17979;A Christmas Carol;Animation Drama;200.00;6.6;1095
76757;Jupiter Ascending;Science Fiction Fantasy Action Adventure;176.00;5.2;2768
258489;The Legend of Tarzan;Action Adventure;180.00;5.5;2430
411;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;Adventure Family Fantasy;180.00;6.7;2629
246655;X-Men: Apocalypse;Science Fiction;178.00;6.4;4721
155;The Dark Knight;Drama Action Crime Thriller;185.00;8.2;12002
14160;Up;Animation Comedy Family Adventure;175.00;7.7;6870
15512;Monsters vs Aliens;Animation Family Adventure Science Fiction;175.00;6.0;1423
1726;Iron Man;Action Science Fiction Adventure;140.00;7.4;8776
44826;Hugo;Adventure Drama Family;170.00;7.0;2141
8487;Wild Wild West;Action Adventure Comedy Science Fiction Western;170.00;5.1;1020
1735;The Mummy: Tomb of the Dragon Emperor;Adventure Action Fantasy;145.00;5.2;1387
297761;Suicide Squad;Action Adventure Crime Fantasy Science Fiction;175.00;5.9;7458
2698;Evan Almighty;Fantasy Comedy Family;175.00;5.3;1151
137113;Edge of Tomorrow;Action Science Fiction;178.00;7.6;4858
9804;Waterworld;Adventure Action;175.00;5.9;992
14869;G.I. Joe: The Rise of Cobra;Adventure Action Thriller Science Fiction;175.00;5.6;1962
150540;Inside Out;Drama Comedy Animation Family;175.00;8.0;6560
278927;The Jungle Book;Family Adventure Drama Fantasy;175.00;6.7;2892
10138;Iron Man 2;Adventure Action Science Fiction;200.00;6.6;6849
58595;Snow White and the Huntsman;Adventure Fantasy Drama;170.00;5.8;3118
102651;Maleficent;Fantasy Adventure Action Family Romance;180.00;7.0;4496
119450;Dawn of the Planet of the Apes;Science Fiction Action Drama Thriller;170.00;7.3;4410
79698;The Lovers;Action Adventure Science Fiction Romance;27.00;4.8;34
64686;47 Ronin;Drama Action Adventure Fantasy;175.00;5.9;1326
100402;Captain America: The Winter Soldier;Action Adventure Science Fiction;170.00;7.6;5764
10192;Shrek Forever After;Comedy Adventure Fantasy Animation Family;165.00;6.0;1959
158852;Tomorrowland;Adventure Family Mystery Science Fiction;190.00;6.2;2846
177572;Big Hero 6;Adventure Family Animation Action Comedy;165.00;7.8;6135
82690;Wreck-It Ralph;Family Animation Comedy Adventure;165.00;7.1;4570
5255;The Polar Express;Adventure Animation Family Fantasy;165.00;6.4;1474
47933;Independence Day: Resurgence;Action Adventure Science Fiction;165.00;4.9;2491
10191;How to Train Your Dragon;Fantasy Adventure Animation Family;165.00;7.5;4227
296;Terminator 3: Rise of the Machines;Action Thriller Science Fiction;200.00;5.9;2143
118340;Guardians of the Galaxy;Action Science Fiction Adventure;170.00;7.9;9742
157336;Interstellar;Adventure Drama Science Fiction;165.00;8.1;10867
27205;Inception;Action Thriller Science Fiction Mystery Adventure;160.00;8.1;13752
315011;Shin Godzilla;Action Adventure Drama Horror Science Fiction;15.00;6.5;143
49051;The Hobbit: An Unexpected Journey;Adventure Fantasy Action;250.00;7.0;8297
9799;The Fast and the Furious;Action Crime Thriller;38.00;6.6;3428
4922;The Curious Case of Benjamin Button;Fantasy Drama Thriller Mystery Romance;150.00;7.3;3292
49538;X-Men: First Class;Action Science Fiction Adventure;160.00;7.1;5181
131634;The Hunger Games: Mockingjay - Part 2;Action Adventure Science Fiction;160.00;6.6;3984
27022;The Sorcerer's Apprentice;Fantasy Adventure Action Comedy Drama;150.00;5.8;1470
503;Poseidon;Adventure Action Drama Thriller;160.00;5.5;583
241259;Alice Through the Looking Glass;Fantasy;170.00;6.5;1725
810;Shrek the Third;Fantasy Adventure Animation Comedy Family;160.00;6.0;2278
68735;Warcraft;Action Adventure Fantasy;160.00;6.3;2268
87101;Terminator Genisys;Science Fiction Action Thriller Adventure;155.00;5.8;3631
10140;The Chronicles of Narnia: The Voyage of the Dawn Treader;Adventure Family Fantasy;155.00;6.2;1514
676;Pearl Harbor;History Romance War;140.00;6.6;1791
1858;Transformers;Adventure Science Fiction Action;150.00;6.6;4040
1966;Alexander;War History Action Adventure Drama;155.00;5.6;927
675;Harry Potter and the Order of the Phoenix;Adventure Fantasy Family Mystery;150.00;7.4;5494
674;Harry Potter and the Goblet of Fire;Adventure Fantasy Family;150.00;7.5;5608
8960;Hancock;Fantasy Action;150.00;6.2;2961
6479;I Am Legend;Drama Horror Action Thriller Science Fiction;150.00;6.9;4853
118;Charlie and the Chocolate Factory;Adventure Comedy Family Fantasy;150.00;6.7;3624
2062;Ratatouille;Animation Comedy Family Fantasy;150.00;7.5;4369
272;Batman Begins;Action Crime Drama;150.00;7.5;7359
10527;Madagascar: Escape 2 Africa;Family Animation;150.00;6.2;1810
18360;Night at the Museum: Battle of the Smithsonian;Adventure Fantasy Action Comedy Family;150.00;5.9;1971
2080;X-Men Origins: Wolverine;Adventure Action Thriller Science Fiction;150.00;6.2;4021
605;The Matrix Revolutions;Adventure Action Thriller Science Fiction;150.00;6.4;3096
109445;Frozen;Animation Adventure Family;150.00;7.3;5295
604;The Matrix Reloaded;Adventure Action Thriller Science Fiction;150.00;6.7;3443
76338;Thor: The Dark World;Action Adventure Fantasy;170.00;6.8;4755
76341;Mad Max: Fury Road;Action Adventure Science Fiction Thriller;150.00;7.2;9427
13448;Angels & Demons;Thriller Mystery;150.00;6.5;2129
10195;Thor;Adventure Fantasy Action;150.00;6.6;6525
13053;Bolt;Animation Family Adventure Comedy;150.00;6.3;1750
19585;G-Force;Fantasy Action Adventure Family Comedy;150.00;5.1;510
57165;Wrath of the Titans;Adventure;150.00;5.5;1431
62213;Dark Shadows;Comedy Fantasy;150.00;5.7;2320
177677;Mission: Impossible - Rogue Nation;Action Adventure Thriller;150.00;7.1;3224
7978;The Wolfman;Drama Horror Thriller;150.00;5.5;549
5559;Bee Movie;Family Animation Adventure Comedy;150.00;5.7;1171
49444;Kung Fu Panda 2;Animation Family;150.00;6.7;1880
10196;The Last Airbender;Action Adventure Family Fantasy;150.00;4.7;1151
956;Mission: Impossible III;Adventure Action Thriller;150.00;6.5;2028
117251;White House Down;Action Drama Thriller;150.00;6.4;1891
50321;Mars Needs Moms;Adventure Animation Family;150.00;5.5;199
11619;Flushed Away;Adventure Animation Comedy Family;149.00;6.0;874
266647;Pan;Adventure Family Fantasy;150.00;5.9;954
82703;Mr. Peabody & Sherman;Animation Adventure Family;145.00;6.7;843
652;Troy;Adventure Drama War;175.00;6.9;2759
80321;Madagascar 3: Europe's Most Wanted;Animation Family;145.00;6.4;1808
36669;Die Another Day;Adventure Action Thriller;140.00;5.8;1092
43074;Ghostbusters;Action Fantasy Comedy;144.00;5.3;2142
95;Armageddon;Action Thriller Science Fiction Adventure;140.00;6.4;2482
608;Men in Black II;Action Adventure Comedy Science Fiction;140.00;6.0;3114
2310;Beowulf;Adventure Action Animation;70.00;5.5;841
140300;Kung Fu Panda 3;Action Adventure Animation Comedy Family;145.00;6.7;1603
56292;Mission: Impossible - Ghost Protocol;Action Thriller Adventure;145.00;6.8;3972
81188;Rise of the Guardians;Fantasy Animation Family;145.00;7.1;1922
7552;Fun with Dick and Jane;Comedy;100.00;5.9;627
616;The Last Samurai;Drama Action War History;140.00;7.3;1895
147441;Exodus: Gods and Kings;Adventure Drama Action;140.00;5.6;1921
13475;Star Trek;Science Fiction Action Adventure;150.00;7.4;4518
557;Spider-Man;Fantasy Action;139.00;6.8;5265
82702;How to Train Your Dragon 2;Fantasy Action Adventure Animation Comedy;145.00;7.6;3106
205584;Gods of Egypt;Fantasy;140.00;5.3;1277
10048;Stealth;Action;135.00;4.9;331
13183;Watchmen;Action Mystery Science Fiction;130.00;7.0;2811
944;Lethal Weapon 4;Action Adventure Comedy Crime Thriller;140.00;6.3;767
1927;Hulk;Drama Action Science Fiction;137.00;5.3;1533
72559;G.I. Joe: Retaliation;Adventure Action Science Fiction Thriller;130.00;5.4;3025
7364;Sahara;Action Adventure Comedy Drama Mystery;130.00;5.7;434
